Date,Game_Time,Team_1,Team_2,Winner,Score_1,Score_2,Game,T_Name
10.05.,2:53,England 7s,France 7s,England 7s,26æ,æ7,20,S7s
10.05.,2:31,Australia 7s,Russia 7s,Australia 7s,31æ,æ5,19,S7s
10.05.,2:09,Canada 7s,Japan 7s,Canada 7s,38æ,æ0,18,S7s
10.05.,1:47,USA 7s,Argentina 7s,USA 7s,21æ,æ14,17,S7s
10.05.,1:10,Scotland 7s,Wales 7s,Scotland 7s,12æ,æ7,16,S7s
10.05.,0:48,Fiji 7s,Portugal 7s,Fiji 7s,40æ,æ12,15,S7s
10.05.,0:26,New Zealand 7s,Samoa 7s,New Zealand 7s,26æ,æ19,14,S7s
10.05.,0:04,South Africa 7s,Kenya 7s,South Africa 7s,22æ,æ5,13,S7s
09.05.,23:42,France 7s,Australia 7s,Australia 7s,7æ,æ38,12,S7s
09.05.,23:20,England 7s,Russia 7s,England 7s,43æ,æ7,11,S7s
09.05.,22:58,Japan 7s,USA 7s,USA 7s,7æ,æ38,10,S7s
09.05.,22:36,Canada 7s,Argentina 7s,Argentina 7s,12æ,æ21,9,S7s
09.05.,22:04,Scotland 7s,Portugal 7s,Scotland 7s,19æ,æ14,8,S7s
09.05.,21:42,Fiji 7s,Wales 7s,Fiji 7s,40æ,æ17,7,S7s
09.05.,21:20,New Zealand 7s,Kenya 7s,New Zealand 7s,22æ,æ7,6,S7s
09.05.,20:58,South Africa 7s,Samoa 7s,South Africa 7s,19æ,æ12,5,S7s
09.05.,20:36,France 7s,Russia 7s,France 7s,21æ,æ19,4,S7s
09.05.,20:14,England 7s,Australia 7s,,17æ,æ17,3,S7s
09.05.,19:52,Japan 7s,Argentina 7s,,12æ,æ12,2,S7s
09.05.,19:30,Canada 7s,USA 7s,Canada 7s,40æ,æ0,1,S7s
15.12.,2:30,South Africa 7sæ,New Zealand 7s,South Africa 7sæ,26æ,æ17,45,PE7s
15.12.,1:58,Australia 7sæ,Argentina 7s,Australia 7sæ,34æ,æ19,44,PE7s
15.12.,1:33,Fiji 7s,USA 7sæ,USA 7sæ,14æ,æ21,43,PE7s
15.12.,1:08,Canada 7sæ,Kenya 7s,Canada 7sæ,24æ,æ5,42,PE7s
15.12.,0:43,Samoa 7s,Portugal 7sæ,Portugal 7sæ,14æ,æ19,41,PE7s
15.12.,0:01,New Zealand 7sæ,Argentina 7s,New Zealand 7sæ,29æ,æ0,40,PE7s
14.12.,23:39,South Africa 7sæ,Australia 7s,South Africa 7sæ,19æ,æ10,39,PE7s
14.12.,23:17,USA 7sæ,Scotland 7s,USA 7sæ,26æ,æ19,38,PE7s
14.12.,22:55,England 7s,Fiji 7sæ,Fiji 7sæ,0æ,æ31,37,PE7s
14.12.,22:13,Kenya 7sæ,France 7s,Kenya 7sæ,14æ,æ12,36,PE7s
14.12.,21:51,Wales 7s,Canada 7sæ,Canada 7sæ,14æ,æ24,35,PE7s
14.12.,21:29,Japan 7s,Portugal 7sæ,Portugal 7sæ,15æ,æ24,34,PE7s
14.12.,21:07,Samoa 7sæ,Zimbabwe,Samoa 7sæ,21æ,æ14,33,PE7s
14.12.,20:25,Argentina 7sæ,Scotland 7s,Argentina 7sæ,24æ,æ19,32,PE7s
14.12.,20:03,New Zealand 7sæ,USA 7s,New Zealand 7sæ,28æ,æ7,31,PE7s
14.12.,19:41,Fiji 7s,Australia 7sæ,Australia 7sæ,19æ,æ31,30,PE7s
14.12.,19:19,South Africa 7sæ,England 7s,South Africa 7sæ,31æ,æ7,29,PE7s
14.12.,18:57,Portugal 7s,France 7sæ,France 7sæ,7æ,æ42,28,PE7s
14.12.,18:35,Japan 7s,Kenya 7sæ,Kenya 7sæ,12æ,æ26,27,PE7s
14.12.,18:13,Canada 7sæ,Zimbabwe,Canada 7sæ,22æ,æ5,26,PE7s
14.12.,17:51,Wales 7sæ,Samoa 7s,Wales 7sæ,24æ,æ22,25,PE7s
14.12.,2:58,South Africa 7s,Wales 7s,South Africa 7s,36æ,æ0,24,PE7s
14.12.,2:36,USA 7s,Kenya 7s,USA 7s,33æ,æ5,23,PE7s
14.12.,2:14,New Zealand 7s,England 7s,New Zealand 7s,5æ,æ0,22,PE7s
14.12.,1:52,Samoa 7s,Japan 7s,Japan 7s,14æ,æ17,21,PE7s
14.12.,1:10,Australia 7s,Argentina 7s,Argentina 7s,21æ,æ31,20,PE7s
14.12.,0:48,Portugal 7s,Zimbabwe,Portugal 7s,19æ,æ7,19,PE7s
14.12.,0:26,Fiji 7s,Scotland 7s,Fiji 7s,19æ,æ12,18,PE7s
14.12.,0:04,France 7s,Canada 7s,France 7s,24æ,æ21,17,PE7s
13.12.,23:20,Wales 7s,USA 7s,USA 7s,12æ,æ38,16,PE7s
13.12.,22:58,South Africa 7s,Kenya 7s,South Africa 7s,38æ,æ7,15,PE7s
13.12.,22:36,England 7s,Samoa 7s,England 7s,22æ,æ7,14,PE7s
13.12.,22:14,New Zealand 7s,Japan 7s,New Zealand 7s,29æ,æ0,13,PE7s
13.12.,21:52,Argentina 7s,Portugal 7s,Argentina 7s,14æ,æ7,12,PE7s
13.12.,21:30,Australia 7s,Zimbabwe,Australia 7s,50æ,æ0,11,PE7s
13.12.,21:08,Scotland 7s,France 7s,Scotland 7s,19æ,æ12,10,PE7s
13.12.,20:46,Fiji 7s,Canada 7s,Fiji 7s,26æ,æ7,9,PE7s
13.12.,20:04,Wales 7s,Kenya 7s,Wales 7s,29æ,æ5,8,PE7s
13.12.,19:42,South Africa 7s,USA 7s,South Africa 7s,26æ,æ0,7,PE7s
13.12.,19:20,England 7s,Japan 7s,England 7s,45æ,æ0,6,PE7s
13.12.,18:58,New Zealand 7s,Samoa 7s,New Zealand 7s,24æ,æ7,5,PE7s
13.12.,18:36,Argentina 7s,Zimbabwe,Argentina 7s,31æ,æ5,4,PE7s
13.12.,18:14,Australia 7s,Portugal 7s,Australia 7s,33æ,æ21,3,PE7s
13.12.,17:52,Scotland 7s,Canada 7s,Canada 7s,12æ,æ14,2,PE7s
13.12.,17:30,Fiji 7s,France 7s,Fiji 7s,45æ,æ5,1,PE7s
16.02.,8:25,Fiji 7sæ,New Zealand 7s,Fiji 7sæ,35æ,æ19,45,USA7s
16.02.,8:00,South Africa 7sæ,USA 7s,South Africa 7sæ,31æ,æ0,44,USA7s
16.02.,7:35,England 7s,Australia 7sæ,Australia 7sæ,14æ,æ21,43,USA7s
16.02.,7:10,Kenya 7sæ,Argentina 7s,Kenya 7sæ,24æ,æ21,42,USA7s
16.02.,6:45,Portugal 7sæ,Wales 7s,Portugal 7sæ,19æ,æ12,41,USA7s
16.02.,5:54,New Zealand 7sæ,USA 7s,New Zealand 7sæ,26æ,æ12,40,USA7s
16.02.,5:32,Fiji 7sæ,South Africa 7s,Fiji 7sæ,24æ,æ19,39,USA7s
16.02.,5:10,Australia 7sæ,Canada 7s,Australia 7sæ,17æ,æ0,38,USA7s
16.02.,4:48,France 7s,England 7sæ,England 7sæ,5æ,æ26,37,USA7s
16.02.,4:26,Scotland 7s,Argentina 7sæ,Argentina 7sæ,19æ,æ21,36,USA7s
16.02.,4:04,Samoa 7s,Kenya 7sæ,Kenya 7sæ,5æ,æ19,35,USA7s
16.02.,3:42,Wales 7sæ,Japan 7s,Wales 7sæ,47æ,æ33,34,USA7s
16.02.,3:20,Brazil,Portugal 7sæ,Portugal 7sæ,19æ,æ26,33,USA7s
15.02.,11:20,Canada 7s,USA 7sæ,USA 7sæ,0æ,æ20,32,USA7s
15.02.,10:58,Australia 7s,New Zealand 7sæ,New Zealand 7sæ,7æ,æ28,31,USA7s
15.02.,10:36,South Africa 7sæ,England 7s,South Africa 7sæ,21æ,æ14,30,USA7s
15.02.,10:14,Fiji 7sæ,France 7s,Fiji 7sæ,31æ,æ12,29,USA7s
15.02.,9:52,Argentina 7sæ,Japan 7s,Argentina 7sæ,15æ,æ12,28,USA7s
15.02.,9:30,Scotland 7sæ,Wales 7s,Scotland 7sæ,19æ,æ14,27,USA7s
15.02.,9:08,Portugal 7s,Kenya 7sæ,Kenya 7sæ,7æ,æ17,26,USA7s
15.02.,8:46,Samoa 7sæ,Brazil,Samoa 7sæ,26æ,æ7,25,USA7s
15.02.,6:52,Scotland 7s,Australia 7s,Australia 7s,14æ,æ40,24,USA7s
15.02.,6:30,England 7s,Kenya 7s,England 7s,21æ,æ14,23,USA7s
15.02.,6:05,New Zealand 7s,Fiji 7s,Fiji 7s,12æ,æ14,22,USA7s
15.02.,5:40,South Africa 7s,USA 7s,,19æ,æ19,21,USA7s
15.02.,5:14,France 7s,Brazil,France 7s,26æ,æ7,20,USA7s
15.02.,4:52,Argentina 7s,Canada 7s,Canada 7s,7æ,æ24,19,USA7s
15.02.,4:30,Wales 7s,Samoa 7s,Samoa 7s,19æ,æ26,18,USA7s
15.02.,4:08,Portugal 7s,Japan 7s,Portugal 7s,21æ,æ19,17,USA7s
14.02.,14:30,Australia 7s,France 7s,Australia 7s,31æ,æ14,16,USA7s
14.02.,14:08,Scotland 7s,Brazil,Scotland 7s,38æ,æ14,15,USA7s
14.02.,13:46,Kenya 7s,Argentina 7s,Argentina 7s,14æ,æ19,14,USA7s
14.02.,13:24,England 7s,Canada 7s,Canada 7s,12æ,æ15,13,USA7s
14.02.,13:02,Fiji 7s,Wales 7s,Fiji 7s,28æ,æ24,12,USA7s
14.02.,12:40,New Zealand 7s,Samoa 7s,New Zealand 7s,15æ,æ5,11,USA7s
14.02.,12:18,USA 7s,Portugal 7s,USA 7s,19æ,æ7,10,USA7s
14.02.,11:56,South Africa 7s,Japan 7s,South Africa 7s,42æ,æ5,9,USA7s
14.02.,11:34,Australia 7s,Brazil,Australia 7s,45æ,æ0,8,USA7s
14.02.,11:12,Scotland 7s,France 7s,France 7s,7æ,æ19,7,USA7s
14.02.,10:50,Kenya 7s,Canada 7s,Kenya 7s,22æ,æ21,6,USA7s
14.02.,10:28,England 7s,Argentina 7s,England 7s,19æ,æ17,5,USA7s
14.02.,10:06,Fiji 7s,Samoa 7s,Fiji 7s,36æ,æ0,4,USA7s
14.02.,9:44,New Zealand 7s,Wales 7s,New Zealand 7s,40æ,æ7,3,USA7s
14.02.,9:22,USA 7s,Japan 7s,USA 7s,52æ,æ12,2,USA7s
14.02.,9:00,South Africa 7s,Portugal 7s,South Africa 7s,19æ,æ0,1,USA7s
